timestamp_ms,EMG_Quad_mV,EMG_Ham_mV,EMG_Calf_mV,ACC_Quad_X_g,ACC_Quad_Y_g,ACC_Quad_Z_g,GYR_Quad_X_dps,GYR_Quad_Y_dps,GYR_Quad_Z_dps,Pitch_Quad_deg,Roll_Quad_deg,ACC_Ham_X_g,ACC_Ham_Y_g,ACC_Ham_Z_g,GYR_Ham_X_dps,GYR_Ham_Y_dps,GYR_Ham_Z_dps,Pitch_Ham_deg,Roll_Ham_deg,ACC_Calf_X_g,ACC_Calf_Y_g,ACC_Calf_Z_g,GYR_Calf_X_dps,GYR_Calf_Y_dps,GYR_Calf_Z_dps,Pitch_Calf_deg,Roll_Calf_deg,Angle_Quad_Ham_deg,Angle_Quad_Calf_deg,Angle_Ham_Calf_deg
6,1008.13,940.44,936.41,0.0454,0.1538,1.1968,-0.075,-0.145,-0.087,-2.29,7.05,0.2537,-0.5862,0.8188,3.274,0.320,-0.511,-14.03,-35.07,0.8254,0.0613,0.5563,-2.748,-5.415,4.282,-54.23,8.81,-0.00,-0.11,-0.11
22,1013.77,1018.61,992.82,0.0547,0.1497,1.1907,-1.617,-1.290,0.401,-2.31,7.02,0.2468,-0.5679,0.8037,-3.948,-0.199,0.939,-14.03,-35.13,0.7961,0.0659,0.5438,-2.900,-1.216,3.061,-54.27,8.72,-0.00,-0.22,-0.22
37,1079.05,1135.46,1116.12,0.0540,0.1433,1.1904,-1.036,0.038,0.172,-2.32,7.01,0.2454,-0.5684,0.7935,1.976,-0.504,-0.206,-14.04,-35.11,0.8212,0.0712,0.5380,-0.015,2.020,-1.886,-54.29,8.70,-0.01,-0.32,-0.32
63,1998.53,1973.55,2001.76,0.0476,0.1536,1.1855,3.162,1.641,-0.225,-2.28,7.09,0.2515,-0.5574,0.8066,1.045,-0.428,-0.572,-14.06,-35.08,0.8086,0.0769,0.5713,0.535,5.746,-3.061,-54.14,8.69,-0.01,-0.41,-0.40
79,1843.81,1766.45,1790.62,0.0361,0.1533,1.1863,1.040,1.031,-0.545,-2.25,7.11,0.2424,-0.5669,0.8105,0.236,0.121,-0.084,-14.05,-35.07,0.8258,0.0875,0.6005,1.267,5.318,-4.634,-54.05,8.71,-0.02,-0.49,-0.47
94,1602.05,1474.73,1525.49,0.0410,0.1482,1.1838,-2.105,-1.000,0.508,-2.26,7.08,0.2375,-0.5605,0.8059,-1.505,-0.382,0.741,-14.05,-35.09,0.8011,0.1261,0.6172,-1.191,4.387,-3.382,-53.94,8.74,-0.02,-0.55,-0.52
120,1124.18,1237.00,1173.33,0.0454,0.1323,1.2002,-1.586,-0.221,-0.057,-2.26,7.03,0.2366,-0.5706,0.8059,2.526,-0.504,-0.313,-14.05,-35.03,0.8225,0.1337,0.6141,-3.481,0.020,1.152,-53.92,8.73,-0.03,-0.60,-0.58
135,1350.62,1517.44,1473.92,0.0513,0.1379,1.1975,2.444,0.664,-0.118,-2.26,7.05,0.2400,-0.5698,0.8000,-2.360,-0.230,0.832,-14.05,-35.07,0.8354,0.1339,0.5979,-2.381,-4.361,3.412,-53.98,8.77,-0.03,-0.66,-0.63
10161,2152.45,2347.47,2385.35,0.2427,0.0608,1.0188,-8.991,-32.282,-0.286,-319.64,-81.35,0.7263,0.3989,-0.0232,396.724,-119.848,-150.236,-1192.45,3865.15,1.0282,-0.0399,0.3207,-3.313,5.990,-25.764,4.50,-24.09,-9.91,0.40,10.31
20186,1974.36,1946.96,1955.82,0.1660,0.0952,1.1897,0.124,0.176,0.035,-311.68,-78.41,0.2346,-0.6030,0.7844,-0.344,0.244,0.145,-1166.47,3783.71,0.9615,0.0114,0.3092,-1.710,-0.376,2.786,-0.73,-40.37,-17.83,0.46,18.29
