timestamp_ms,EMG_Quad_mV,EMG_Ham_mV,EMG_Calf_mV,ACC_Quad_X_g,ACC_Quad_Y_g,ACC_Quad_Z_g,GYR_Quad_X_dps,GYR_Quad_Y_dps,GYR_Quad_Z_dps,Pitch_Quad_deg,Roll_Quad_deg,ACC_Ham_X_g,ACC_Ham_Y_g,ACC_Ham_Z_g,GYR_Ham_X_dps,GYR_Ham_Y_dps,GYR_Ham_Z_dps,Pitch_Ham_deg,Roll_Ham_deg,ACC_Calf_X_g,ACC_Calf_Y_g,ACC_Calf_Z_g,GYR_Calf_X_dps,GYR_Calf_Y_dps,GYR_Calf_Z_dps,Pitch_Calf_deg,Roll_Calf_deg,Angle_Quad_Ham_deg,Angle_Quad_Calf_deg,Angle_Ham_Calf_deg
6,1420.73,1303.08,1387.69,0.0488,0.0315,1.1926,0.330,-0.008,-0.035,-2.09,1.82,0.1829,-0.6064,0.7930,-1.254,-0.007,1.065,-10.93,-37.70,0.8826,0.1481,0.4293,-5.171,-3.185,-1.298,-62.35,17.10,0.03,-0.22,-0.25
21,979.93,928.35,1041.98,0.0410,0.0447,1.2014,0.528,0.053,0.087,-2.09,1.84,0.1921,-0.6086,0.7837,0.043,-0.191,0.576,-10.93,-37.70,0.9113,0.1273,0.4114,-6.026,-1.628,-2.901,-62.42,17.01,0.06,-0.42,-0.48
35,741.39,805.05,921.10,0.0435,0.0337,1.1970,-0.770,-0.115,-0.173,-2.09,1.82,0.1877,-0.6042,0.7815,0.532,0.069,0.668,-10.93,-37.70,0.8792,0.1327,0.4104,-3.935,0.845,-4.443,-62.44,16.97,0.09,-0.62,-0.70
60,2341.03,2250.77,2149.23,0.0447,0.0439,1.2036,0.513,0.037,-0.050,-2.09,1.84,0.1938,-0.6084,0.7844,-0.628,-0.267,0.912,-10.94,-37.71,0.8953,0.1361,0.4281,-2.408,3.105,-7.848,-62.38,16.93,0.11,-0.79,-0.90
75,2104.10,1926.81,1908.28,0.0454,0.0337,1.1855,-0.434,-0.039,-0.050,-2.09,1.83,0.1897,-0.6042,0.7810,-0.125,0.023,0.714,-10.94,-37.72,0.8844,0.1506,0.4437,-3.431,3.639,-8.550,-62.32,16.92,0.13,-0.95,-1.09
89,1457.80,1328.06,1405.42,0.0481,0.0374,1.2026,-0.479,-0.131,0.133,-2.10,1.82,0.2014,-0.6094,0.7883,-0.445,-0.358,0.424,-10.95,-37.72,0.9135,0.1694,0.4435,-2.805,2.769,-8.397,-62.29,16.96,0.15,-1.10,-1.25
114,1410.26,1590.77,1531.14,0.0413,0.0447,1.2004,-0.021,0.114,0.133,-2.09,1.83,0.1895,-0.6074,0.7888,0.517,-0.313,0.607,-10.96,-37.71,0.9106,0.1907,0.4583,-2.973,0.250,-5.283,-62.26,17.00,0.17,-1.23,-1.40
129,2009.82,2086.37,1972.75,0.0466,0.0369,1.1921,-0.144,0.053,-0.112,-2.10,1.82,0.1973,-0.6055,0.7896,-0.125,0.039,0.927,-10.96,-37.70,0.8871,0.1809,0.4578,-5.599,0.418,-2.764,-62.23,17.01,0.19,-1.35,-1.54
143,2330.55,2249.16,2144.40,0.0420,0.0383,1.2017,-0.159,0.129,0.011,-2.09,1.82,0.1912,-0.6050,0.7859,-0.842,0.008,0.943,-10.96,-37.71,0.9113,0.1699,0.4598,-4.606,-2.162,-1.558,-62.25,17.01,0.20,-1.47,-1.67
168,729.30,819.56,903.37,0.0420,0.0386,1.2000,-0.113,0.007,-0.096,-2.09,1.82,0.1863,-0.6086,0.7791,0.043,0.008,0.759,-10.95,-37.72,0.9012,0.1415,0.4375,-5.141,-3.475,-1.787,-62.35,16.90,0.22,-1.58,-1.80
183,892.09,1108.06,1108.86,0.0461,0.0366,1.1958,-0.128,0.098,-0.112,-2.09,1.82,0.1924,-0.6033,0.7883,-0.293,-0.221,0.683,-10.96,-37.72,0.8853,0.1298,0.4160,-5.553,-2.773,-2.657,-62.42,16.83,0.23,-1.69,-1.93
197,1465.86,1664.91,1583.52,0.0420,0.0369,1.1968,0.116,0.083,0.056,-2.09,1.82,0.1897,-0.6072,0.7910,-0.354,0.069,0.714,-10.95,-37.72,0.9008,0.1293,0.4102,-4.102,-0.574,-5.085,-62.47,16.78,0.25,-1.80,-2.05
222,1275.68,1173.33,1255.53,0.0422,0.0403,1.1985,-0.052,0.053,-0.020,-2.09,1.82,0.1914,-0.6082,0.7947,0.059,-0.252,0.653,-10.96,-37.71,0.9071,0.1403,0.4136,-2.973,3.548,-7.451,-62.42,16.75,0.26,-1.90,-2.15
236,824.40,839.71,933.19,0.0439,0.0383,1.1990,0.070,-0.039,-0.005,-2.09,1.82,0.1899,-0.6072,0.7866,-0.766,0.176,1.111,-10.95,-37.72,0.8906,0.1534,0.4373,-2.957,4.555,-7.878,-62.36,16.76,0.27,-1.98,-2.25
251,722.05,863.08,915.46,0.0430,0.0381,1.1968,0.314,0.037,-0.020,-2.09,1.82,0.1895,-0.6064,0.7878,-0.079,-0.191,0.622,-10.95,-37.72,0.8988,0.1619,0.4564,-2.973,4.097,-8.153,-62.28,16.77,0.28,-2.06,-2.33
276,2304.76,2152.45,2062.20,0.0444,0.0369,1.1980,-0.266,-0.054,0.148,-2.09,1.82,0.1853,-0.6069,0.7910,-0.155,-0.221,0.805,-10.95,-37.72,0.9041,0.1805,0.4677,-4.194,0.128,-5.802,-62.26,16.76,0.29,-2.12,-2.41
290,1760.81,1585.93,1636.70,0.0400,0.0408,1.2043,0.024,0.022,-0.020,-2.08,1.82,0.1887,-0.6116,0.7886,-0.140,-0.114,0.561,-10.94,-37.72,0.9001,0.1823,0.4630,-5.110,-1.353,-3.955,-62.25,16.78,0.30,-2.19,-2.48
315,1116.12,1353.85,1316.78,0.0403,0.0437,1.2041,-0.006,-0.008,-0.020,-2.08,1.82,0.1897,-0.6050,0.7954,-0.064,-0.206,0.393,-10.95,-37.71,0.9008,0.1619,0.4371,-5.614,-2.895,-1.146,-62.33,16.72,0.30,-2.25,-2.55
329,1803.52,1932.45,1828.50,0.0413,0.0376,1.1982,-0.205,-0.115,-0.020,-2.08,1.82,0.1931,-0.6057,0.7930,-0.735,-0.099,0.988,-10.95,-37.72,0.8960,0.1427,0.4315,-5.446,-2.391,-0.917,-62.38,16.67,0.31,-2.31,-2.62
354,1018.61,963.81,1067.77,0.0427,0.0393,1.1941,0.162,0.129,-0.127,-2.08,1.83,0.1943,-0.6033,0.7883,0.059,-0.236,0.821,-10.96,-37.71,0.8925,0.1239,0.4178,-4.713,-0.147,-4.092,-62.41,16.55,0.32,-2.37,-2.69
369,747.84,788.94,888.86,0.0435,0.0435,1.2017,-0.006,0.037,0.011,-2.08,1.83,0.1926,-0.6062,0.7903,-0.186,-0.038,0.805,-10.96,-37.71,0.8912,0.1251,0.4224,-3.767,0.952,-6.520,-62.43,16.50,0.32,-2.43,-2.75
383,761.54,957.36,993.63,0.0425,0.0364,1.1858,-0.220,-0.069,-0.081,-2.08,1.83,0.1934,-0.6101,0.7861,-0.170,-0.160,0.698,-10.96,-37.71,0.8967,0.1400,0.4260,-3.492,2.616,-7.985,-62.41,16.48,0.33,-2.48,-2.81
408,2127.47,1959.85,1923.59,0.0444,0.0400,1.1975,-0.098,-0.069,0.026,-2.08,1.82,0.1899,-0.6052,0.7888,-0.186,-0.221,0.729,-10.96,-37.71,0.9031,0.1700,0.4437,-3.232,3.487,-7.909,-62.32,16.49,0.33,-2.52,-2.86
423,1467.47,1343.37,1400.59,0.0405,0.0374,1.1985,-0.067,-0.069,-0.173,-2.08,1.82,0.1951,-0.6033,0.7844,-0.262,-0.023,0.836,-10.97,-37.71,0.9016,0.1766,0.4554,-3.522,2.845,-6.382,-62.26,16.54,0.34,-2.56,-2.90
447,1346.59,1569.01,1502.12,0.0444,0.0403,1.2021,0.055,0.083,0.041,-2.08,1.83,0.1919,-0.6091,0.7917,0.074,-0.160,0.500,-10.97,-37.71,0.9055,0.1736,0.4728,-4.759,-0.819,-3.390,-62.26,16.49,0.34,-2.59,-2.93
462,2062.20,2132.31,2000.15,0.0425,0.0381,1.1973,-0.067,0.068,0.117,-2.07,1.83,0.1868,-0.6125,0.7852,-0.705,0.008,1.050,-10.96,-37.72,0.8964,0.1648,0.4624,-5.492,-2.712,-2.382,-62.28,16.48,0.34,-2.62,-2.97
476,2337.80,2256.41,2147.62,0.0457,0.0386,1.1990,0.116,0.022,-0.020,-2.08,1.83,0.1895,-0.6096,0.7866,-0.613,-0.175,0.668,-10.96,-37.73,0.9019,0.1560,0.4406,-5.553,-3.872,-2.153,-62.34,16.46,0.35,-2.66,-3.01
501,719.63,838.10,910.62,0.0435,0.0356,1.1907,-0.159,-0.039,0.056,-2.08,1.82,0.1909,-0.6069,0.7856,0.150,-0.068,0.530,-10.96,-37.73,0.8983,0.1410,0.4139,-4.851,-2.086,-2.993,-62.42,16.39,0.35,-2.69,-3.05
516,876.78,1095.97,1121.76,0.0432,0.0374,1.2004,0.070,0.022,-0.127,-2.08,1.82,0.1936,-0.6062,0.7888,-0.170,-0.114,0.759,-10.96,-37.73,0.8934,0.1344,0.4135,-4.606,0.662,-4.062,-62.45,16.36,0.35,-2.73,-3.08
530,1465.86,1654.43,1588.35,0.0415,0.0388,1.2021,0.085,0.053,0.041,-2.07,1.82,0.1904,-0.6025,0.7957,-0.079,0.023,0.653,-10.96,-37.72,0.8979,0.1321,0.4226,-3.629,2.250,-5.680,-62.44,16.32,0.36,-2.76,-3.12
555,1296.63,1172.53,1274.07,0.0417,0.0381,1.1968,-0.083,-0.054,-0.096,-2.07,1.82,0.1865,-0.6086,0.7920,-0.277,-0.038,0.561,-10.95,-37.72,0.8964,0.1434,0.4456,-3.095,3.380,-8.046,-62.36,16.28,0.36,-2.79,-3.15
570,853.41,838.90,942.05,0.0420,0.0383,1.1968,-0.128,0.022,0.011,-2.07,1.82,0.1929,-0.6047,0.7903,-0.231,-0.038,0.836,-10.95,-37.72,0.8956,0.1572,0.4543,-3.461,2.739,-8.275,-62.31,16.29,0.36,-2.81,-3.17
584,719.63,835.68,919.49,0.0457,0.0432,1.2041,0.162,0.068,0.072,-2.07,1.83,0.1936,-0.6077,0.7930,-0.125,-0.145,0.698,-10.96,-37.71,0.9037,0.1757,0.4620,-3.721,1.471,-7.512,-62.27,16.32,0.36,-2.83,-3.19
609,2294.29,2166.15,2100.88,0.0457,0.0354,1.1958,-0.083,0.022,0.041,-2.07,1.82,0.1909,-0.6062,0.7834,-0.491,-0.252,0.744,-10.96,-37.73,0.9015,0.1859,0.4576,-4.637,-0.544,-3.817,-62.26,16.33,0.37,-2.84,-3.21
624,1803.52,1639.93,1689.08,0.0430,0.0366,1.2012,-0.067,-0.024,-0.112,-2.07,1.82,0.1904,-0.6113,0.7900,0.120,-0.053,0.836,-10.96,-37.73,0.9014,0.1725,0.4487,-5.263,-1.567,-1.894,-62.28,16.35,0.37,-2.85,-3.22
648,1066.96,1315.97,1280.51,0.0420,0.0378,1.2000,0.085,0.083,0.087,-2.07,1.82,0.1929,-0.6057,0.7883,-0.155,-0.175,0.836,-10.96,-37.73,0.8920,0.1428,0.4395,-5.767,-2.513,-1.176,-62.34,16.24,0.37,-2.87,-3.24
663,1740.66,1889.74,1794.65,0.0447,0.0376,1.2002,-0.052,0.007,-0.035,-2.07,1.82,0.1929,-0.6089,0.7876,-0.216,-0.114,0.744,-10.96,-37.73,0.8925,0.1281,0.4333,-5.141,-2.361,-2.504,-62.39,16.17,0.37,-2.89,-3.26
687,1070.18,1006.52,1095.97,0.0486,0.0383,1.1978,0.146,0.053,-0.020,-2.08,1.82,0.1919,-0.6074,0.7930,-0.308,-0.084,0.637,-10.96,-37.73,0.8940,0.1315,0.4122,-4.087,-0.025,-6.016,-62.43,16.10,0.37,-2.91,-3.29
702,765.57,819.56,917.88,0.0500,0.0354,1.1958,-0.144,0.022,-0.035,-2.08,1.82,0.1902,-0.6062,0.7827,-0.262,-0.038,0.775,-10.96,-37.73,0.8997,0.1420,0.4193,-3.644,2.235,-7.466,-62.42,16.10,0.37,-2.93,-3.31
717,755.90,889.67,958.17,0.0454,0.0403,1.1960,-0.083,0.022,-0.035,-2.08,1.82,0.1917,-0.6042,0.7852,-0.018,-0.129,0.744,-10.96,-37.73,0.8998,0.1554,0.4292,-2.988,3.914,-8.062,-62.38,16.13,0.38,-2.95,-3.32
