timestamp_ms,EMG_Quad_mV,ACC_Quad_X_g,ACC_Quad_Y_g,ACC_Quad_Z_g,GYR_Quad_X_dps,GYR_Quad_Y_dps,GYR_Quad_Z_dps,INIT_Quad_Pitch_deg,INIT_Quad_Roll_deg,EMG_Ham_mV,ACC_Ham_X_g,ACC_Ham_Y_g,ACC_Ham_Z_g,GYR_Ham_X_dps,GYR_Ham_Y_dps,GYR_Ham_Z_dps,INIT_Ham_Pitch_deg,INIT_Ham_Roll_deg,EMG_Calf_mV,ACC_Calf_X_g,ACC_Calf_Y_g,ACC_Calf_Z_g,GYR_Calf_X_dps,GYR_Calf_Y_dps,GYR_Calf_Z_dps,INIT_Calf_Pitch_deg,INIT_Calf_Roll_deg
2173408,2853.55,-0.0001,-0.0001,-0.0001,-0.015,-0.015,-0.015,-0.00,0.00,3300.00,-0.0001,-0.0001,-0.0001,-0.015,-0.015,-0.015,-0.00,0.00,2842.27,-0.4734,0.8245,0.5466,-3.113,6.500,0.183,-0.00,0.00
2183453,3048.57,-0.0001,-0.0001,-0.0001,-0.015,-0.015,-0.015,-0.00,0.00,3300.00,-0.0001,-0.0001,-0.0001,-0.015,-0.015,-0.015,-0.00,0.00,2803.59,-0.4734,0.8245,0.5466,-3.113,6.500,0.183,-0.00,0.00
2193497,2062.20,-0.0001,-0.0001,-0.0001,-0.015,-0.015,-0.015,-0.00,0.00,3300.00,-0.0001,-0.0001,-0.0001,-0.015,-0.015,-0.015,-0.00,0.00,1760.81,-0.4734,0.8245,0.5466,-3.113,6.500,0.183,-0.00,0.00
