timestamp_ms,EMG_Quad_mV,EMG_Ham_mV,EMG_Calf_mV,ACC_Quad_X_g,ACC_Quad_Y_g,ACC_Quad_Z_g,GYR_Quad_X_dps,GYR_Quad_Y_dps,GYR_Quad_Z_dps,Pitch_Quad_deg,Roll_Quad_deg,ACC_Ham_X_g,ACC_Ham_Y_g,ACC_Ham_Z_g,GYR_Ham_X_dps,GYR_Ham_Y_dps,GYR_Ham_Z_dps,Pitch_Ham_deg,Roll_Ham_deg,ACC_Calf_X_g,ACC_Calf_Y_g,ACC_Calf_Z_g,GYR_Calf_X_dps,GYR_Calf_Y_dps,GYR_Calf_Z_dps,Pitch_Calf_deg,Roll_Calf_deg,Angle_Quad_Ham_deg,Angle_Quad_Calf_deg,Angle_Ham_Calf_deg
10,1432.01,1431.21,1422.34,0.0671,0.0493,1.2476,-2.804,0.167,-0.178,-2.90,1.80,0.1868,-0.5962,0.8474,2.220,-1.566,-2.120,-11.46,-34.63,0.8494,0.1981,0.5042,2.175,-3.338,0.647,-55.32,23.53,0.00,-0.14,-0.15
24,1430.40,1407.84,1427.18,0.0728,0.0549,1.1895,3.899,-0.352,0.249,-2.91,1.88,0.2231,-0.5627,0.8372,-2.253,-1.093,1.437,-11.49,-34.65,0.8390,0.1871,0.4863,-3.688,3.716,0.800,-55.32,23.43,0.01,-0.27,-0.28
39,1438.46,1434.43,1436.04,0.0564,0.0271,1.2012,-1.140,0.793,0.066,-2.90,1.85,0.1865,-0.5784,0.7932,-5.581,4.999,2.735,-11.41,-34.76,0.7919,0.2217,0.5167,3.411,2.983,-5.750,-55.27,23.47,0.01,-0.39,-0.40
63,1466.67,1507.77,1454.58,0.0515,0.0408,1.1987,0.876,-0.840,-0.270,-2.91,1.87,0.2017,-0.5532,0.8252,9.732,-1.917,-3.616,-11.45,-34.51,0.8004,0.2233,0.5115,1.656,2.388,-2.513,-55.21,23.51,0.02,-0.50,-0.51
78,1427.99,1449.74,1462.64,0.0471,0.0430,1.1946,-0.208,-0.199,0.005,-2.90,1.87,0.1882,-0.5515,0.8567,0.602,1.259,0.063,-11.42,-34.46,0.8424,0.2407,0.5431,-2.482,2.128,-4.330,-55.17,23.49,0.02,-0.59,-0.62
92,1439.27,1432.01,1431.21,0.0586,0.0339,1.2180,-0.254,-0.000,-0.239,-2.90,1.86,0.2000,-0.5818,0.8145,-8.650,-1.260,0.399,-11.43,-34.61,0.8787,0.2324,0.5157,1.762,0.983,-0.391,-55.19,23.53,0.03,-0.68,-0.71
117,1473.11,1524.69,1478.75,0.0698,0.0374,1.1909,-1.079,0.167,-0.025,-2.90,1.84,0.2024,-0.5676,0.7966,2.281,0.297,-1.097,-11.43,-34.57,0.8275,0.2458,0.5358,0.190,-1.124,-1.964,-55.21,23.55,0.03,-0.77,-0.80
131,1457.00,1534.36,1498.10,0.0647,0.0376,1.2063,-0.025,-0.428,-0.224,-2.91,1.83,0.2217,-0.5759,0.8267,6.388,-1.886,-2.181,-11.48,-34.49,0.8430,0.2467,0.5262,-0.283,-0.544,-0.971,-55.22,23.58,0.03,-0.85,-0.88
156,1440.88,1427.99,1444.10,0.0598,0.0408,1.1924,-0.010,0.290,-0.056,-2.90,1.84,0.1946,-0.5576,0.8228,-2.192,3.106,1.102,-11.39,-34.53,0.8668,0.2515,0.5190,-0.512,1.166,-0.422,-55.21,23.61,0.04,-0.92,-0.96
170,1444.10,1476.34,1480.37,0.0620,0.0327,1.2058,-0.422,0.091,-0.285,-2.90,1.82,0.1865,-0.5676,0.8042,-4.192,-2.711,0.659,-11.42,-34.60,0.8136,0.2510,0.5436,0.892,1.243,1.777,-55.17,23.65,0.05,-0.99,-1.03
185,1477.14,1526.30,1508.57,0.0544,0.0405,1.1985,0.128,0.030,0.188,-2.90,1.83,0.2058,-0.5764,0.8130,-0.559,-0.558,-1.082,-11.43,-34.63,0.8239,0.2361,0.5303,-1.001,-1.597,3.212,-55.18,23.64,0.05,-1.05,-1.10
209,1426.37,1432.01,1419.12,0.0593,0.0303,1.2061,-0.559,-0.077,-0.071,-2.90,1.81,0.2051,-0.5735,0.8188,1.411,-1.062,-1.280,-11.46,-34.60,0.8162,0.2205,0.5264,-2.314,-1.826,3.685,-55.22,23.57,0.05,-1.11,-1.16
224,1405.42,1388.50,1407.84,0.0654,0.0359,1.2046,0.112,0.091,0.036,-2.90,1.81,0.2095,-0.5632,0.8262,1.838,0.190,-0.517,-11.46,-34.57,0.8555,0.2046,0.5055,1.091,-2.452,1.945,-55.30,23.55,0.05,-1.17,-1.22
238,1428.79,1446.52,1456.19,0.0659,0.0342,1.1946,0.005,0.061,-0.010,-2.90,1.80,0.2031,-0.5671,0.8201,-2.391,1.304,0.567,-11.45,-34.60,0.8066,0.2131,0.5081,-0.894,0.204,0.174,-55.31,23.52,0.05,-1.23,-1.28
263,1444.10,1495.68,1459.41,0.0608,0.0374,1.1956,0.051,0.091,0.081,-2.90,1.80,0.2122,-0.5811,0.8076,1.304,-0.864,-1.021,-11.48,-34.59,0.8685,0.2153,0.5002,-0.390,1.930,-2.590,-55.31,23.51,0.05,-1.29,-1.34
277,1436.04,1459.41,1457.00,0.0579,0.0430,1.2000,0.311,0.106,0.143,-2.90,1.81,0.1975,-0.5593,0.8293,4.281,2.098,-0.227,-11.44,-34.52,0.8074,0.2290,0.5095,1.396,3.059,-2.651,-55.27,23.54,0.05,-1.33,-1.39
292,1419.12,1423.15,1436.04,0.0562,0.0398,1.1965,-0.147,0.335,0.097,-2.89,1.81,0.1978,-0.5608,0.8220,0.953,0.526,-0.288,-11.43,-34.50,0.8445,0.2335,0.5188,1.671,3.533,-3.460,-55.24,23.58,0.05,-1.38,-1.43
