timestamp_ms,EMG_Quad_mV,EMG_Ham_mV,EMG_Calf_mV,ACC_Quad_X_g,ACC_Quad_Y_g,ACC_Quad_Z_g,GYR_Quad_X_dps,GYR_Quad_Y_dps,GYR_Quad_Z_dps,Pitch_Quad_deg,Roll_Quad_deg,ACC_Ham_X_g,ACC_Ham_Y_g,ACC_Ham_Z_g,GYR_Ham_X_dps,GYR_Ham_Y_dps,GYR_Ham_Z_dps,Pitch_Ham_deg,Roll_Ham_deg,ACC_Calf_X_g,ACC_Calf_Y_g,ACC_Calf_Z_g,GYR_Calf_X_dps,GYR_Calf_Y_dps,GYR_Calf_Z_dps,Pitch_Calf_deg,Roll_Calf_deg,Angle_Quad_Ham_deg,Angle_Quad_Calf_deg,Angle_Ham_Calf_deg
10,2519.12,2677.07,2577.95,0.0176,0.0479,1.2129,-0.045,-0.603,0.025,-1.29,2.43,0.1748,-0.6729,0.7622,1.063,-0.483,-1.463,-9.89,-40.68,1.0079,0.0072,0.2070,0.830,0.123,0.494,-78.93,1.68,0.01,-2.09,-2.11
25,2390.18,2307.99,2313.63,0.0305,0.0505,1.2104,-0.015,-0.771,0.162,-1.30,2.42,0.1765,-0.6467,0.7646,0.376,-0.208,1.194,-9.90,-40.67,0.9966,0.0000,0.2032,0.448,0.810,0.952,-78.91,1.66,0.03,-4.04,-4.06
39,1689.08,1463.44,1564.98,0.0332,0.0522,1.2085,-0.045,1.092,-0.036,-1.29,2.42,0.1770,-0.6543,0.7581,-0.983,0.265,-0.272,-9.90,-40.68,1.0031,0.0090,0.2070,-1.247,0.490,-0.712,-78.89,1.65,0.04,-5.84,-5.88
64,1166.08,1430.40,1369.16,0.0317,0.0554,1.1980,0.001,0.649,0.132,-1.28,2.43,0.1716,-0.6396,0.7454,0.911,0.387,-0.134,-9.89,-40.66,0.9858,0.0183,0.1844,-0.590,-0.213,-0.177,-78.91,1.72,0.05,-7.53,-7.58
79,1985.64,2353.11,2287.03,0.0212,0.0513,1.1982,-0.030,-0.588,-0.006,-1.28,2.43,0.1780,-0.6509,0.7642,0.758,-0.758,-0.409,-9.90,-40.64,1.0055,0.0219,0.1890,0.524,-0.793,1.197,-78.93,1.83,0.06,-9.09,-9.15
93,2565.86,2876.12,2880.95,0.0281,0.0537,1.2043,0.016,-2.496,0.025,-1.32,2.43,0.1753,-0.6528,0.7607,-0.402,0.387,0.003,-9.90,-40.65,1.0112,0.0056,0.1788,0.509,1.512,1.502,-78.93,1.83,0.07,-10.55,-10.62
118,653.55,402.12,342.49,0.0308,0.0464,1.1958,0.077,1.901,-0.143,-1.28,2.43,0.1733,-0.6475,0.7493,-0.372,0.402,-0.287,-9.89,-40.66,1.0099,-0.0114,0.1996,-0.010,-0.350,2.342,-78.93,1.73,0.08,-11.90,-11.98
133,725.27,743.81,666.45,0.0154,0.0515,1.1926,-0.045,2.252,-0.112,-1.23,2.43,0.1697,-0.6475,0.7559,0.575,-0.269,0.232,-9.89,-40.65,0.9747,0.0013,0.2052,-0.590,-1.205,-0.284,-78.93,1.69,0.09,-13.16,-13.25
147,1224.91,1519.05,1480.37,0.0220,0.0508,1.1938,-0.091,-2.359,0.147,-1.26,2.43,0.1797,-0.6475,0.7637,0.895,-0.147,-0.730,-9.89,-40.63,1.0127,-0.0057,0.1931,-0.086,-2.656,1.044,-78.98,1.63,0.09,-14.34,-14.43
172,1482.78,1197.51,1210.40,0.0435,0.0515,1.2053,-0.015,-1.015,-0.128,-1.30,2.43,0.1794,-0.6428,0.7515,-0.738,0.128,-0.394,-9.90,-40.65,1.0074,0.0142,0.1831,0.967,0.215,-0.987,-78.98,1.70,0.10,-15.43,-15.53
187,905.79,490.77,308.64,0.0295,0.0476,1.1951,0.031,3.443,-0.036,-1.26,2.43,0.1702,-0.6479,0.7439,-0.570,0.051,0.675,-9.90,-40.67,0.9818,0.0039,0.1749,1.135,1.222,-0.483,-78.99,1.71,0.11,-16.45,-16.56
201,637.44,335.24,102.34,0.0234,0.0471,1.1931,0.031,2.618,-0.051,-1.22,2.42,0.1826,-0.6511,0.7571,0.529,-0.453,-0.760,-9.91,-40.66,0.9950,0.0244,0.1954,0.326,2.535,-1.826,-78.95,1.83,0.11,-17.40,-17.50
226,2536.04,2917.22,3300.00,0.0347,0.0444,1.2109,-0.091,-4.420,0.178,-1.33,2.41,0.1750,-0.6470,0.7571,0.407,0.204,-0.180,-9.91,-40.65,1.0138,0.0156,0.2064,0.646,1.680,-0.742,-78.90,1.89,0.12,-18.27,-18.38
241,2086.37,2018.68,2216.92,0.0315,0.0518,1.2075,0.077,0.985,-0.021,-1.32,2.42,0.1619,-0.6477,0.7515,0.132,0.250,0.522,-9.89,-40.65,1.0007,0.0186,0.2190,0.066,-0.701,1.945,-78.88,1.95,0.12,-19.07,-19.20
255,1350.62,1044.40,981.54,0.0181,0.0500,1.2021,0.047,5.229,-0.250,-1.24,2.42,0.1643,-0.6477,0.7534,0.483,0.204,0.095,-9.88,-40.64,0.9875,0.0099,0.2112,-0.697,-1.663,2.296,-78.88,1.96,0.13,-19.83,-19.96
280,1499.71,1871.21,1932.45,0.0210,0.0559,1.1934,-0.076,-3.290,0.056,-1.31,2.42,0.1731,-0.6482,0.7585,-1.135,-0.086,-0.317,-9.88,-40.67,0.9878,-0.0094,0.1858,-0.697,-3.602,3.471,-78.98,1.84,0.14,-20.54,-20.67
294,2307.99,2804.40,3237.14,0.0435,0.0540,1.2065,0.001,-5.916,0.132,-1.41,2.42,0.1807,-0.6521,0.7549,-0.402,-0.224,-0.134,-9.89,-40.67,1.0068,-0.0155,0.1735,-0.483,-0.961,0.571,-79.02,1.70,0.15,-21.19,-21.34
319,751.87,377.14,118.46,0.0356,0.0532,1.1953,0.077,5.733,-0.173,-1.28,2.43,0.1775,-0.6418,0.7466,0.285,-0.132,0.370,-9.90,-40.67,0.9846,-0.0062,0.1704,1.196,1.864,-2.605,-79.00,1.65,0.15,-21.81,-21.96
334,619.71,451.28,167.62,0.0081,0.0488,1.1868,0.077,3.015,0.040,-1.22,2.43,0.1741,-0.6501,0.7625,0.575,-0.620,-1.127,-9.91,-40.65,0.9995,0.0037,0.1920,1.028,2.978,-2.681,-78.96,1.65,0.15,-22.38,-22.53
348,927.55,1095.97,981.54,0.0183,0.0452,1.2029,-0.015,-6.038,0.178,-1.30,2.42,0.1697,-0.6541,0.7688,-1.349,-0.483,0.125,-9.91,-40.67,1.0237,0.0046,0.2051,1.318,2.749,-2.666,-78.91,1.66,0.15,-22.90,-23.05
373,1789.82,1594.80,1739.05,0.0417,0.0449,1.2161,0.016,0.756,-0.021,-1.29,2.42,0.1641,-0.6553,0.7490,-0.036,0.372,0.446,-9.89,-40.68,1.0034,0.0234,0.2203,0.524,0.154,-0.941,-78.88,1.77,0.16,-23.39,-23.54
388,1095.97,705.13,578.61,0.0264,0.0464,1.1963,0.108,8.298,-0.403,-1.17,2.41,0.1704,-0.6416,0.7468,3.002,0.051,-0.562,-9.89,-40.64,0.9861,0.0311,0.2133,-0.667,-1.984,0.555,-78.88,1.89,0.15,-23.85,-24.00
402,702.71,340.88,53.19,0.0085,0.0496,1.1853,0.001,2.771,-0.143,-1.12,2.41,0.1736,-0.6394,0.7610,0.117,-0.391,-0.226,-9.89,-40.62,0.9987,0.0280,0.1890,-0.835,-3.312,2.494,-78.94,2.01,0.14,-24.28,-24.43
