timestamp_ms,EMG_Quad_mV,EMG_Ham_mV,EMG_Calf_mV,ACC_Quad_X_g,ACC_Quad_Y_g,ACC_Quad_Z_g,GYR_Quad_X_dps,GYR_Quad_Y_dps,GYR_Quad_Z_dps,Pitch_Quad_deg,Roll_Quad_deg,ACC_Ham_X_g,ACC_Ham_Y_g,ACC_Ham_Z_g,GYR_Ham_X_dps,GYR_Ham_Y_dps,GYR_Ham_Z_dps,Pitch_Ham_deg,Roll_Ham_deg,ACC_Calf_X_g,ACC_Calf_Y_g,ACC_Calf_Z_g,GYR_Calf_X_dps,GYR_Calf_Y_dps,GYR_Calf_Z_dps,Pitch_Calf_deg,Roll_Calf_deg,Angle_Quad_Ham_deg,Angle_Quad_Calf_deg,Angle_Ham_Calf_deg
3,1329.67,1547.25,1493.26,0.1074,0.0422,1.1946,0.547,-1.111,0.195,-5.53,2.22,0.2568,-0.0046,1.0027,0.229,-0.218,-0.163,-14.50,-0.58,0.7808,0.1061,0.6477,-0.956,-0.602,1.449,-51.14,8.57,-0.06,-0.08,-0.02
18,1862.34,2003.37,1946.96,0.1033,0.0398,1.1736,0.517,-1.783,0.073,-5.54,2.22,0.2581,-0.0076,0.9861,-0.046,0.194,-0.102,-14.50,-0.58,0.7839,0.0901,0.6401,-1.169,-2.006,2.182,-51.16,8.54,-0.11,-0.15,-0.04
33,2237.88,2242.71,2200.81,0.1162,0.0410,1.1992,0.273,-6.073,0.088,-5.63,2.22,0.2568,-0.0068,0.9878,0.183,0.041,-0.132,-14.50,-0.57,0.7792,0.1033,0.6241,-1.002,-2.816,-0.200,-51.20,8.54,-0.16,-0.22,-0.06
58,859.05,846.15,880.81,0.1104,0.0271,1.1858,0.074,-5.218,-2.538,-5.75,2.20,0.2549,-0.0144,0.9875,0.092,-0.005,-0.132,-14.50,-0.57,0.7867,0.0967,0.6027,-1.444,-1.503,3.602,-51.25,8.52,-0.19,-0.27,-0.08
72,902.56,1025.86,1032.31,0.1040,0.0383,1.1899,0.074,-5.554,-2.110,-5.81,2.20,0.2529,-0.0146,0.9929,-0.015,0.087,-0.102,-14.50,-0.58,0.7870,0.0822,0.6106,-0.070,0.055,-0.078,-51.26,8.50,-0.21,-0.32,-0.11
87,1278.10,1515.02,1457.00,0.1650,-0.0225,1.0784,1.448,6.629,-0.523,-5.78,2.15,0.2559,-0.0146,0.9922,0.015,0.163,-0.071,-14.49,-0.58,0.7928,0.0719,0.6250,-0.879,0.223,2.228,-51.27,8.45,-0.24,-0.37,-0.13
112,1458.61,1311.94,1378.83,0.1179,0.0374,1.1877,0.456,-2.531,0.653,-5.84,2.16,0.2539,-0.0105,0.9934,0.092,-0.188,-0.148,-14.50,-0.58,0.7954,0.0774,0.6111,0.281,0.055,-3.131,-51.29,8.43,-0.26,-0.41,-0.15
126,1021.83,928.35,992.82,0.1182,0.0364,1.1980,0.517,-0.928,0.393,-5.84,2.15,0.2610,-0.0095,0.9961,0.107,-0.066,-0.163,-14.50,-0.58,0.7849,0.1040,0.6140,0.082,1.612,-0.368,-51.27,8.46,-0.28,-0.44,-0.17
141,824.40,836.48,892.09,0.1182,0.0415,1.1870,0.776,1.240,1.951,-5.82,2.16,0.2637,-0.0085,1.0002,0.290,-0.203,-0.193,-14.51,-0.57,0.7871,0.1039,0.6144,0.846,2.070,-1.650,-51.25,8.49,-0.29,-0.48,-0.18
165,2260.44,2225.79,2178.24,0.1135,0.0435,1.1851,1.280,6.201,0.271,-5.67,2.19,0.2563,-0.0073,0.9861,0.137,0.041,-0.102,-14.51,-0.57,0.7795,0.1082,0.6453,-0.147,2.696,-0.169,-51.16,8.51,-0.32,-0.51,-0.19
180,1938.90,1778.53,1814.80,0.1121,0.0391,1.1895,0.822,2.598,1.783,-5.62,2.20,0.2532,-0.0078,0.9968,0.214,0.117,-0.148,-14.50,-0.56,0.7817,0.1049,0.6547,-0.101,-0.327,0.304,-51.13,8.52,-0.35,-0.55,-0.20
194,1365.13,1226.52,1282.12,0.1072,0.0398,1.1931,0.731,0.705,1.370,-5.60,2.20,0.2522,-0.0085,0.9902,-0.031,0.056,-0.025,-14.50,-0.56,0.7802,0.1077,0.6475,-0.971,-1.640,0.350,-51.13,8.53,-0.38,-0.58,-0.20
219,1526.30,1722.93,1685.05,0.1140,0.0405,1.1902,0.731,-0.852,0.302,-5.62,2.21,0.2585,-0.0061,0.9927,0.214,0.133,-0.025,-14.50,-0.55,0.7845,0.1088,0.6144,-1.719,-3.014,3.831,-51.21,8.51,-0.40,-0.62,-0.21
234,2113.77,2204.03,2129.08,0.1111,0.0376,1.1904,0.593,-1.142,0.225,-5.63,2.22,0.2561,-0.0095,0.9949,-0.107,0.163,0.036,-14.49,-0.55,0.7802,0.0905,0.6172,-0.986,-1.686,2.121,-51.24,8.50,-0.43,-0.65,-0.22
249,2246.74,2192.75,2177.44,0.1113,0.0364,1.1877,0.547,-1.417,0.210,-5.65,2.21,0.2605,-0.0107,0.9934,0.061,0.163,0.127,-14.49,-0.55,0.7844,0.0763,0.6230,-1.429,-1.808,2.808,-51.27,8.45,-0.45,-0.68,-0.24
273,824.40,877.58,912.23,0.1348,0.0320,1.2178,-0.018,-10.730,0.622,-5.92,2.20,0.1929,-0.0146,1.0000,1.343,0.652,6.952,-14.41,-0.53,0.7826,0.0719,0.6071,-0.574,-1.182,-1.421,-51.31,8.40,-0.44,-0.70,-0.26
288,989.60,1169.30,1162.05,0.1187,0.0317,1.1921,0.273,-4.989,0.317,-5.99,2.19,0.2646,-0.0154,1.0005,1.298,-0.005,6.692,-14.41,-0.52,0.7935,0.0867,0.6031,-0.223,0.635,-0.383,-51.32,8.39,-0.43,-0.71,-0.28
303,1498.90,1714.87,1667.33,0.1213,0.0359,1.1951,0.410,-2.592,0.073,-6.02,2.19,0.1936,-0.0139,1.0088,2.092,0.087,8.188,-14.34,-0.49,0.7832,0.0881,0.5991,0.922,1.627,-1.055,-51.32,8.40,-0.41,-0.71,-0.30
327,1289.38,1138.68,1224.91,0.1187,0.0361,1.1909,0.456,-0.760,0.317,-6.03,2.19,0.2373,-0.0042,0.9978,0.565,0.347,2.539,-14.31,-0.47,0.7815,0.0974,0.6331,0.983,3.001,-1.177,-51.23,8.43,-0.39,-0.71,-0.32
342,925.93,853.41,946.08,0.1182,0.0295,1.2031,0.685,0.201,1.050,-6.02,2.18,0.2554,-0.0042,0.9937,-0.000,-0.066,-0.789,-14.32,-0.47,0.7817,0.0967,0.6439,0.815,1.154,-1.559,-51.20,8.45,-0.38,-0.71,-0.34
