timestamp_ms,EMG_Quad_mV,EMG_Ham_mV,EMG_Calf_mV,ACC_Quad_X_g,ACC_Quad_Y_g,ACC_Quad_Z_g,GYR_Quad_X_dps,GYR_Quad_Y_dps,GYR_Quad_Z_dps,Pitch_Quad_deg,Roll_Quad_deg,ACC_Ham_X_g,ACC_Ham_Y_g,ACC_Ham_Z_g,GYR_Ham_X_dps,GYR_Ham_Y_dps,GYR_Ham_Z_dps,Pitch_Ham_deg,Roll_Ham_deg,ACC_Calf_X_g,ACC_Calf_Y_g,ACC_Calf_Z_g,GYR_Calf_X_dps,GYR_Calf_Y_dps,GYR_Calf_Z_dps,Pitch_Calf_deg,Roll_Calf_deg,Angle_Quad_Ham_deg,Angle_Quad_Calf_deg,Angle_Ham_Calf_deg
4,1477.95,1465.86,1469.08,-0.4961,0.7739,0.4111,-7.739,0.825,-4.945,29.61,61.63,-0.2283,-0.9497,0.4246,2.085,-0.274,0.114,12.33,-65.77,0.1272,-1.0027,-0.1592,0.698,-0.348,0.134,-7.21,-98.04,0.00,0.00,0.00
18,1493.26,1432.01,1452.97,-0.4639,0.7258,0.3870,-2.533,-3.466,-7.037,29.56,61.60,-0.2148,-0.9150,0.4268,0.299,-0.290,1.274,12.32,-65.75,0.1248,-0.9529,-0.1382,3.125,-0.532,0.775,-7.22,-98.00,0.01,0.01,0.01
43,1464.25,1499.71,1483.59,-0.4910,0.7656,0.4199,4.078,-0.351,2.246,29.54,61.69,-0.2393,-0.9299,0.4175,3.612,-0.671,-2.405,12.32,-65.67,0.1362,-0.9998,-0.1497,-4.753,-2.043,1.034,-7.28,-98.12,0.01,0.01,0.00
57,1457.00,1501.32,1478.75,-0.5022,0.7827,0.4341,9.406,1.145,8.948,29.55,61.81,-0.2251,-0.9458,0.4478,1.291,0.092,-1.978,12.32,-65.63,0.1404,-1.0239,-0.1355,-0.127,0.751,-0.676,-7.28,-98.11,0.01,0.02,0.00
82,1493.26,1522.27,1475.53,-0.4858,0.7524,0.3945,2.368,-0.061,3.589,29.56,61.88,-0.2173,-0.9277,0.4038,-2.693,1.405,0.007,12.35,-65.71,0.1282,-0.9775,-0.1445,0.331,0.293,-0.141,-7.27,-98.11,0.02,0.02,0.00
96,1490.84,1544.84,1486.81,-0.4846,0.7561,0.3865,-6.685,0.275,-5.907,29.56,61.80,-0.2104,-0.9446,0.4253,1.078,0.458,-2.207,12.34,-65.70,0.1191,-0.9824,-0.1511,-0.875,0.262,-0.309,-7.26,-98.14,0.02,0.02,-0.00
121,1467.47,1458.61,1452.97,-0.4917,0.7595,0.4026,-6.609,-0.183,-5.281,29.56,61.65,-0.2314,-0.9204,0.3916,-3.457,-0.793,1.549,12.33,-65.81,0.1248,-0.9985,-0.1260,1.629,0.949,-0.294,-7.23,-98.08,0.03,0.03,0.00
135,1481.98,1458.61,1462.64,-0.4963,0.7712,0.4194,2.643,0.886,3.681,29.57,61.68,-0.2297,-0.9412,0.4236,6.543,-0.381,-1.810,12.33,-65.71,0.1257,-1.0085,-0.1421,-1.073,-0.684,0.134,-7.24,-98.09,0.03,0.03,0.00
159,1457.00,1513.41,1504.54,-0.4688,0.7419,0.3904,8.994,-0.626,8.383,29.55,61.91,-0.2324,-0.9165,0.4011,-1.915,-0.458,2.175,12.34,-65.77,0.1279,-0.9636,-0.1306,0.484,-0.135,0.103,-7.25,-98.07,0.03,0.03,0.00
174,1493.26,1469.89,1462.64,-0.4771,0.7549,0.3955,2.368,0.107,1.681,29.55,61.95,-0.2202,-0.9292,0.4158,2.207,0.229,-1.718,12.34,-65.74,0.1272,-0.9829,-0.1399,-1.608,-0.287,-0.004,-7.25,-98.10,0.03,0.04,0.00
