timestamp_ms,EMG_Quad_mV,EMG_Ham_mV,EMG_Calf_mV,ACC_Quad_X_g,ACC_Quad_Y_g,ACC_Quad_Z_g,GYR_Quad_X_dps,GYR_Quad_Y_dps,GYR_Quad_Z_dps,Pitch_Quad_deg,Roll_Quad_deg,ACC_Ham_X_g,ACC_Ham_Y_g,ACC_Ham_Z_g,GYR_Ham_X_dps,GYR_Ham_Y_dps,GYR_Ham_Z_dps,Pitch_Ham_deg,Roll_Ham_deg,ACC_Calf_X_g,ACC_Calf_Y_g,ACC_Calf_Z_g,GYR_Calf_X_dps,GYR_Calf_Y_dps,GYR_Calf_Z_dps,Pitch_Calf_deg,Roll_Calf_deg,Angle_Quad_Ham_deg,Angle_Quad_Calf_deg,Angle_Ham_Calf_deg
7,3107.40,2058.17,1946.96,0.0474,0.0449,1.1875,-0.219,-0.252,-0.363,-2.44,2.02,0.2051,-0.5994,0.8201,1.614,-3.893,-2.255,-10.27,-37.35,0.9786,0.1245,0.3865,1.683,0.657,0.981,-67.41,20.01,0.02,-0.07,-0.09
22,1921.17,1488.42,1563.37,0.0593,0.0469,1.1958,0.087,0.862,0.995,-2.44,2.03,0.1863,-0.6052,0.7874,-8.707,1.954,2.539,-10.24,-37.49,0.9142,0.1237,0.3723,-1.829,-1.756,-0.134,-67.42,19.95,0.04,-0.14,-0.18
38,1212.01,1083.08,1286.96,0.0544,0.0486,1.2073,-0.066,-0.206,-0.562,-2.44,2.03,0.1667,-0.6284,0.7607,-2.432,1.069,1.378,-10.21,-37.56,0.9401,0.1219,0.3655,-3.493,-2.565,-1.355,-67.47,19.86,0.06,-0.21,-0.27
64,872.75,1363.52,1342.56,0.0459,0.0491,1.1846,0.056,0.969,0.995,-2.41,2.04,0.1851,-0.5845,0.8157,6.255,2.381,-0.530,-10.16,-37.37,0.9343,0.1578,0.3475,-0.302,-2.168,-0.439,-67.53,19.95,0.08,-0.27,-0.35
79,1702.78,1908.28,1714.87,0.0476,0.0334,1.2100,0.025,-0.206,-0.516,-2.41,2.03,0.1641,-0.6106,0.7922,-4.890,2.412,1.791,-10.10,-37.45,0.9415,0.1388,0.3601,-0.073,2.260,1.622,-67.50,19.97,0.11,-0.33,-0.44
95,2500.59,2372.45,2050.92,0.0466,0.0386,1.1997,-0.066,0.221,-0.150,-2.41,2.03,0.1729,-0.6084,0.7739,-2.524,-3.237,0.157,-10.15,-37.50,0.9392,0.1276,0.3783,1.438,-0.046,0.950,-67.49,19.96,0.12,-0.39,-0.51
121,734.95,800.22,1052.45,0.0508,0.0410,1.1917,-0.005,0.145,-0.195,-2.40,2.03,0.1760,-0.6040,0.7915,-2.341,0.885,1.745,-10.13,-37.56,0.9122,0.1147,0.3848,-0.378,-1.343,-0.775,-67.49,19.89,0.14,-0.44,-0.59
136,157.14,518.97,821.17,0.0518,0.0442,1.1951,0.117,-0.023,0.079,-2.41,2.03,0.1699,-0.6130,0.7720,2.178,1.817,-0.148,-10.09,-37.54,0.9346,0.1167,0.3551,0.461,-2.763,-1.248,-67.55,19.86,0.16,-0.50,-0.66
10160,3300.00,3300.00,3300.00,0.0471,0.0518,1.1904,0.407,-0.313,0.079,-5.48,6.04,0.1975,-0.6211,0.7744,2.438,0.107,-0.438,-9.07,-13.61,1.0162,0.0721,0.2349,0.141,-1.695,1.179,-84.37,21.19,0.47,-1.51,-1.98
20185,386.01,837.29,954.95,0.0459,0.0391,1.1946,0.041,-0.069,0.110,-6.09,6.36,0.2026,-0.6196,0.7747,-0.570,-0.183,0.188,-10.92,-19.71,1.0057,-0.0056,0.1731,0.522,0.000,-1.065,-84.29,25.86,0.66,-2.40,-3.06
30211,1598.83,1423.96,1508.57,0.0459,0.0474,1.2029,-0.005,-0.206,-0.058,-8.04,6.23,0.2117,-0.6106,0.7793,1.003,-0.107,-0.209,-11.99,-10.23,1.0042,0.0021,0.1716,0.125,-1.114,-0.210,-95.16,26.59,0.91,-3.86,-4.76
40235,2607.77,2389.38,2062.20,0.0432,0.0371,1.1987,0.010,-0.145,0.049,-9.34,6.24,0.1995,-0.6226,0.7747,-0.478,-0.092,0.096,-12.88,-15.49,1.0024,0.0076,0.1703,0.599,0.397,-1.279,-90.96,31.99,1.16,-4.82,-5.99
