timestamp_ms,EMG_Quad_mV,EMG_Ham_mV,EMG_Calf_mV,ACC_Quad_X_g,ACC_Quad_Y_g,ACC_Quad_Z_g,GYR_Quad_X_dps,GYR_Quad_Y_dps,GYR_Quad_Z_dps,Pitch_Quad_deg,Roll_Quad_deg,ACC_Ham_X_g,ACC_Ham_Y_g,ACC_Ham_Z_g,GYR_Ham_X_dps,GYR_Ham_Y_dps,GYR_Ham_Z_dps,Pitch_Ham_deg,Roll_Ham_deg,ACC_Calf_X_g,ACC_Calf_Y_g,ACC_Calf_Z_g,GYR_Calf_X_dps,GYR_Calf_Y_dps,GYR_Calf_Z_dps,Pitch_Calf_deg,Roll_Calf_deg,Angle_Quad_Ham_deg,Angle_Quad_Calf_deg,Angle_Ham_Calf_deg
4,1178.97,915.46,814.73,0.1641,0.1013,1.1831,0.038,-0.640,0.211,-7.75,4.92,0.2336,-0.6287,0.7776,0.179,-0.103,-0.152,-13.06,-38.32,0.9534,-0.0366,0.3322,-6.365,-17.668,21.667,-68.69,15.05,-0.01,-2.19,-2.18
20,953.33,685.79,552.82,0.1602,0.0977,1.1824,-0.283,0.567,-0.171,-7.74,4.92,0.2280,-0.6028,0.7749,0.500,0.111,-0.091,-13.06,-38.30,0.9623,-0.0540,0.2181,-7.724,-19.180,10.156,-69.15,14.35,-0.02,-4.26,-4.24
34,838.10,685.79,492.38,0.1650,0.1052,1.1873,0.939,0.460,0.027,-7.73,4.93,0.2288,-0.6106,0.7739,-1.057,0.065,0.352,-13.06,-38.31,0.9385,-0.0380,0.1122,-4.899,-11.592,-2.837,-69.59,13.62,-0.04,-6.22,-6.18
59,2276.56,2382.93,2623.08,0.1663,0.0986,1.1921,-0.069,-0.288,0.149,-7.75,4.93,0.2273,-0.6116,0.7769,1.080,0.035,-0.335,-13.06,-38.29,0.9542,0.0194,0.1016,-1.220,14.225,-15.371,-69.52,13.54,-0.04,-8.03,-7.99
74,1859.12,1757.58,1870.40,0.1582,0.1091,1.1799,-0.206,-0.075,-0.156,-7.74,4.93,0.2314,-0.6113,0.7810,-0.309,0.157,0.046,-13.06,-38.29,0.9686,0.0640,0.2169,1.910,24.011,-21.203,-69.33,13.62,-0.05,-9.71,-9.66
99,1042.78,1188.64,1090.33,0.1638,0.0984,1.1799,0.542,-0.426,0.134,-7.76,4.94,0.2275,-0.6089,0.7693,-0.065,-0.011,0.031,-13.06,-38.29,0.9596,0.1356,0.4128,0.292,17.080,-22.990,-68.84,13.72,-0.06,-11.23,-11.17
113,1620.59,1930.04,1989.67,0.1643,0.1079,1.1765,-1.367,-0.182,-0.538,-7.76,4.93,0.2280,-0.6111,0.7776,0.408,-0.148,-0.091,-13.06,-38.28,1.0006,0.1906,0.4353,-2.548,2.958,-18.501,-68.71,13.88,-0.07,-12.64,-12.57
138,1196.70,950.11,846.15,0.1597,0.0989,1.1836,0.847,0.948,0.104,-7.74,4.94,0.2256,-0.6150,0.7705,-0.630,0.218,0.413,-13.05,-38.30,0.9878,0.2839,0.3199,-5.082,-12.554,-4.959,-68.98,14.31,-0.07,-13.97,-13.89
152,887.25,636.63,461.76,0.1611,0.0977,1.1904,-0.115,0.108,-0.003,-7.73,4.94,0.2271,-0.6113,0.7700,0.836,-0.026,-0.259,-13.05,-38.29,1.0104,0.2913,0.2205,-4.838,-13.165,10.385,-69.19,15.02,-0.08,-15.22,-15.13
177,2241.10,2526.37,2823.74,0.1624,0.1040,1.1821,-0.176,-0.609,-0.018,-7.75,4.93,0.2258,-0.6152,0.7742,-0.691,-0.057,0.184,-13.05,-38.31,0.9889,0.1902,0.2040,-2.762,-1.882,28.522,-69.33,15.51,-0.09,-16.39,-16.30
