timestamp_ms,EMG_Quad_mV,EMG_Ham_mV,EMG_Calf_mV,ACC_Quad_X_g,ACC_Quad_Y_g,ACC_Quad_Z_g,GYR_Quad_X_dps,GYR_Quad_Y_dps,GYR_Quad_Z_dps,Pitch_Quad_deg,Roll_Quad_deg,ACC_Ham_X_g,ACC_Ham_Y_g,ACC_Ham_Z_g,GYR_Ham_X_dps,GYR_Ham_Y_dps,GYR_Ham_Z_dps,Pitch_Ham_deg,Roll_Ham_deg,ACC_Calf_X_g,ACC_Calf_Y_g,ACC_Calf_Z_g,GYR_Calf_X_dps,GYR_Calf_Y_dps,GYR_Calf_Z_dps,Pitch_Calf_deg,Roll_Calf_deg,Angle_Quad_Ham_deg,Angle_Quad_Calf_deg,Angle_Ham_Calf_deg
2,1085.49,1371.58,1332.89,0.0378,0.0386,1.1594,0.123,-0.173,0.082,-2.22,1.89,0.1831,-0.6179,0.7795,-0.366,-0.037,-0.915,-11.05,-38.57,0.9442,0.0814,0.3041,-3.633,1.926,0.783,-71.34,12.93,0.00,-0.02,-0.02
22,499.63,669.67,797.00,0.0527,0.0393,1.2119,-0.091,0.010,-0.132,-2.22,1.89,0.2065,-0.6172,0.7847,1.817,-0.083,-2.641,-11.06,-38.53,0.9928,0.0713,0.3145,-2.167,1.758,-0.499,-71.33,12.89,0.00,-0.04,-0.04
42,979.12,900.15,1057.29,0.0503,0.0432,1.2124,0.016,0.208,0.036,-2.22,1.89,0.1921,-0.6277,0.7617,-2.198,0.299,-0.824,-11.06,-38.59,0.9515,0.0795,0.3048,-2.136,0.384,-1.690,-71.33,12.88,0.00,-0.05,-0.05
62,2309.60,2048.50,1993.70,0.0549,0.0454,1.2073,0.001,-0.067,0.127,-2.23,1.90,0.2017,-0.6228,0.7825,1.649,-0.373,-1.480,-11.07,-38.56,0.9686,0.0918,0.3073,-2.839,1.423,-0.346,-71.30,12.90,0.00,-0.07,-0.07
82,2488.50,2462.71,2239.49,0.0447,0.0439,1.1934,0.031,-0.021,0.036,-2.23,1.90,0.1958,-0.6213,0.7812,0.000,-0.388,-1.770,-11.08,-38.55,0.9812,0.0935,0.2950,-3.434,0.736,0.814,-71.31,12.93,0.00,-0.08,-0.08
102,1087.91,1394.95,1353.85,0.0432,0.0388,1.1990,0.047,-0.051,0.066,-2.23,1.90,0.1855,-0.6196,0.7695,-0.137,0.833,-1.221,-11.05,-38.56,0.9526,0.0702,0.3167,-4.701,1.285,1.913,-71.29,12.83,0.00,-0.09,-0.09
122,484.32,630.99,769.60,0.0432,0.0356,1.1990,-0.045,0.086,0.036,-2.22,1.90,0.1963,-0.6174,0.7788,0.428,-0.358,-2.274,-11.06,-38.55,0.9799,0.0587,0.3097,-3.663,0.125,0.936,-71.30,12.71,0.00,-0.10,-0.10
142,1057.29,965.42,1116.92,0.0496,0.0403,1.1953,-0.030,0.010,0.036,-2.23,1.90,0.1855,-0.6228,0.7634,0.031,0.238,-0.549,-11.05,-38.56,0.9628,0.0693,0.2921,-3.388,-1.493,-1.522,-71.36,12.66,0.00,-0.11,-0.12
162,2406.30,2117.00,2062.20,0.0469,0.0386,1.1946,0.047,-0.036,0.021,-2.23,1.90,0.2026,-0.6157,0.7827,1.283,-0.251,-2.030,-11.07,-38.53,0.9565,0.0835,0.2848,-4.060,1.575,-1.705,-71.36,12.65,0.00,-0.12,-0.13
182,2390.18,2376.48,2175.02,0.0483,0.0383,1.1995,-0.014,-0.067,-0.040,-2.23,1.90,0.1943,-0.6238,0.7781,-0.656,-0.113,-1.740,-11.07,-38.55,0.9736,0.0862,0.2938,-2.884,3.606,0.127,-71.31,12.67,0.00,-0.13,-0.14
202,955.75,1266.81,1232.16,0.0481,0.0403,1.1980,-0.076,0.086,-0.010,-2.23,1.90,0.1914,-0.6191,0.7664,0.672,0.375,-0.976,-11.06,-38.54,0.9641,0.0841,0.3250,-2.716,2.568,-0.087,-71.25,12.65,0.00,-0.14,-0.14
222,482.71,600.37,753.48,0.0474,0.0383,1.2012,-0.076,0.010,-0.010,-2.23,1.89,0.1982,-0.6187,0.7815,0.229,-0.296,-1.633,-11.07,-38.53,0.9595,0.0802,0.3297,-3.984,1.194,-0.560,-71.21,12.60,0.00,-0.14,-0.14
242,1168.50,1056.48,1187.03,0.0476,0.0417,1.1997,0.001,0.056,0.021,-2.23,1.90,0.1892,-0.6206,0.7708,0.183,0.116,-1.297,-11.06,-38.54,0.9688,0.0815,0.3091,-3.770,-1.784,-0.163,-71.26,12.56,0.00,-0.14,-0.14
262,2507.03,2238.68,2151.65,0.0447,0.0403,1.2024,0.138,0.010,0.021,-2.23,1.90,0.2007,-0.6221,0.7854,0.122,-0.067,-1.648,-11.07,-38.53,0.9598,0.0929,0.2939,-3.984,-0.303,0.921,-71.28,12.59,0.00,-0.14,-0.15
283,2204.84,2285.42,2100.07,0.0500,0.0398,1.1970,-0.076,-0.021,0.005,-2.23,1.90,0.1917,-0.6211,0.7749,-0.076,-0.129,-1.572,-11.07,-38.54,0.9673,0.0759,0.2933,-3.984,2.262,1.608,-71.26,12.55,0.01,-0.15,-0.15
303,820.37,1121.76,1149.96,0.0486,0.0349,1.1992,0.001,0.010,0.021,-2.23,1.89,0.1924,-0.6196,0.7771,0.107,0.131,-1.068,-11.06,-38.53,0.9614,0.0607,0.3099,-2.381,1.621,0.173,-71.24,12.47,0.01,-0.15,-0.16
323,510.92,606.01,772.82,0.0483,0.0378,1.2019,0.062,-0.005,-0.056,-2.23,1.89,0.1963,-0.6255,0.7727,-0.015,-0.220,-1.908,-11.07,-38.54,0.9608,0.0679,0.3110,-2.808,1.255,-1.736,-71.23,12.41,0.01,-0.15,-0.16
343,1367.55,1199.12,1302.27,0.0444,0.0400,1.2014,0.016,0.040,0.082,-2.23,1.89,0.1899,-0.6199,0.7729,1.038,0.223,-1.679,-11.06,-38.53,0.9663,0.0862,0.2993,-3.236,0.980,-2.102,-71.22,12.42,0.01,-0.15,-0.16
